<<<<<<< HEAD
<<<<<<< HEAD
﻿abigail.silva@example.com,Abigail Silva,bitter,F,EM,https://randomuser.me/api/portraits/women/67.jpg,1250
albert.mortensen@example.com,Albert Mortensen,thewho,M,EM,https://randomuser.me/api/portraits/men/92.jpg,1250
alfredo.palmer@example.com,Alfredo Palmer,misfit,M,EM,https://randomuser.me/api/portraits/men/74.jpg,1250
arnaud.pelletier@example.com,Arnaud Pelletier,peugeot,M,EM,https://randomuser.me/api/portraits/men/36.jpg,1250
fanny.antonsen@example.com,Fanny Antonsen,gotcha,F,EM,https://randomuser.me/api/portraits/women/92.jpg,1250
HAFEZ_AD@gmail.com,HAFEZ,1234,M,AD,https://i.pinimg.com/564x/5f/40/6a/5f406ab25e8942cbe0da6485afd26b71.jpg,2200
HAFEZ_EM@gmail.com,HAFEZ,1234,M,EM,https://i.pinimg.com/564x/5f/40/6a/5f406ab25e8942cbe0da6485afd26b71.jpg,1250
HAFEZ_PM@gmail.com,HAFEZ,1234,M,PM,https://i.pinimg.com/564x/5f/40/6a/5f406ab25e8942cbe0da6485afd26b71.jpg,2000
HAFEZ_TL@gmail.com,HAFEZ,1234,M,TL,https://i.pinimg.com/564x/5f/40/6a/5f406ab25e8942cbe0da6485afd26b71.jpg,1900
hamid@gmail.com,hamid,1234,M,EM,https://i.pinimg.com/564x/5f/40/6a/5f406ab25e8942cbe0da6485afd26b71.jpg,5000
HAMID_AD@gmail.com,HAMID,1234,M,AD,https://i.pinimg.com/564x/5f/40/6a/5f406ab25e8942cbe0da6485afd26b71.jpg,2200
HAMID_EM@gmail.com,HAMID,1234,M,EM,https://i.pinimg.com/564x/5f/40/6a/5f406ab25e8942cbe0da6485afd26b71.jpg,1250
HAMID_PM@gmail.com,HAMID,1234,M,PM,https://i.pinimg.com/564x/5f/40/6a/5f406ab25e8942cbe0da6485afd26b71.jpg,2000
